,,EXPENSES,,,,,,,,
Account Statement,,,"  19,423.45 ","  19,423.45 ","  15,449.45 ","  3,974.00 ",  -   ,,,
Sl No,Supplier,Project,TOTAL,COGS,PAID,BALANCE,PENDING,Comments,,
28,Bidiya Burgers,"HR Recruitment 1 Cook, 1 Waiter",  140.00 ,  140.00 ,,  140.00 ,, Sandali + Ramij ,,
29,Al Qurum Perfume,Training Need Analysis & Customer Survey,  700.00 ,  700.00 ,  700.00 ,  -   ,,,,
30,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - NOV'25 - Freelance Fee for Strategy and Management,  200.00 ,  200.00 ,,  200.00 ,, Ismail ,,
31,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - DEC'25  - Freelance Fee for Strategy and Management,  200.00 ,  200.00 ,,  200.00 ,, Ismail ,,
32,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - JAN'26  - Freelance Fee for Strategy and Management,  200.00 ,  200.00 ,,  200.00 ,, Ismail ,,
33,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - FEB'26  - Freelance Fee for Strategy and Management,  200.00 ,  200.00 ,,  200.00 ,, Ismail ,,
34,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - MAR'26,  350.00 ,  350.00 ,,  350.00 ,, Ismailn + Peech ,,
35,Al Qurum Perfume,Marketing Managt. & Digi Maintenance - APR'26,  350.00 ,  350.00 ,,  350.00 ,, Ismailn + Peech ,,
36,Al Qurum Perfume,AQP Training & Development - NOV'25 Trainer Fees,  150.00 ,  150.00 ,  -   ,  150.00 ,, Ramij. ,,
37,Al Qurum Perfume,AQP Training & Development - DEC'25 Trainer Fees,  150.00 ,  150.00 ,  -   ,  150.00 ,, Ramij. ,,
38,Al Qurum Perfume,AQP Training & Development - JAN'26 Trainer Fees,  150.00 ,  150.00 ,  125.00 ,  25.00 ,, Ramij. ,,
39,Al Qurum Perfume,AQP Training & Development - FEB'26 Trainer Fees,  150.00 ,  150.00 ,  -   ,  150.00 ,, Ramij. ,,
40,Al Qurum Perfume,AQP Training & Development - MAR'26 Trainer Fees,  150.00 ,  150.00 ,  -   ,  150.00 ,, Ramij. ,,
41,Al Qurum Perfume,AQP Training & Development - APR'26 Trainer Fees,  150.00 ,  150.00 ,  -   ,  150.00 ,, Ramij. ,,
42,Al Qurum Perfume,AQP HR Policy & Attandance Framework,  213.00 ,  213.00 ,  100.00 ,  113.00 ,, Ramij. ,,
43,Al Qurum Perfume,Website Development,  70.00 ,  70.00 ,  70.00 ,  -   ,,,,
44,Al Qurum Perfume,Branding Kits for Digital Marketing,  114.00 ,  114.00 ,  114.00 ,  -   ,,,,
45,Al Qurum Perfume,AQP Direct Cost for Marketing - Digital Production,  500.00 ,  500.00 ,  500.00 ,  -   ,,,,
46,Al Qurum Perfume,AQP Direct Cost for Marketing - FEB,  253.00 ,  253.00 ,  253.00 ,  -   ,,,,
47,Al Qurum Perfume,AQP Direct Cost for Marketing - Santa Décor,  620.00 ,  620.00 ,  620.00 ,  -   ,,,,
48,Al Qurum Perfume,CRM Solutions and WhatsApp Business,  172.00 ,  172.00 ,  137.00 ,  35.00 ,,,,
49,,,,,,  -   ,,,,
50,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
,,,,,,  -   ,,,,
